Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg °F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,n,K,API Fluid Loss (ml),Cake mm,Water % ,Retort Solids  % 
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,8.8,1,97,2
9,9,98,80,54,42,32,27,12,10,0.6,0.4,7,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,97,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,98,80,54,42,32,27,12,10,0.6,0.4,7,1,96.5,2
9,9,98,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,97,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,97,80,54,42,32,27,12,10,0.6,0.4,7,1,96.5,2
9,9,97,76,57,41,37,29,13,12,0.6,0.4,6,1,96.5,2
9,9,101,63,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,101,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,101,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,60,54,42,32,27,12,10,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,7,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
9,9,99,62,57,41,37,29,13,12,0.6,0.4,6,1,96.5,3
8.8,8.8,101,110,71,50,39,28,19,15,0.5,1.1,12,,93,6
9,9,101,120,68,48,36,26,18,14,0.5,1.1,12,,93,6
8.8,8.8,101,100,61,43,30,21,17,14,0.5,0.9,12,,93,6
8.7,8.7,101,103,63,43,34,25,17,14,0.6,0.7,11,2,94,5
8.8,8.8,98,90,60,43,35,28,15,13,0.5,1.1,10,2,97,2
8.9,8.9,98,82,61,48,31,24,21,19,0.3,2.8,10.5,2,93,6
8.9,8.9,98,100,61,43,31,24,21,19,0.5,0.9,10,2,96,3
8.9,8.9,98,89,63,40,30,22,18,13,0.7,0.3,8,2,96,3
8.9,8.9,98,74,65,51,43,34,17,16,0.3,2.9,8,2,95,4
8.9,8.9,98,80,66,47,43,34,17,16,0.5,1.1,7,1,96,3
9.2,9.2,98,80,63,49,44,35,18,17,0.4,2.6,8,1,95.2,4
9.2,9.2,98,80,63,49,44,35,18,17,0.4,2.6,8,1,95.2,4
9.2,9.2,105,90,63,49,44,35,18,17,0.4,2.6,6.5,1,94,4
9.3,9.3,105,90,65,48,40,33,18,16,0.4,1.6,5.5,1,92,6
9.3,9.3,105,90,65,48,40,33,18,16,0.4,1.6,6,1,92,6
9.5,9.5,105,70,64,46,30,29,18,15,0.5,1.2,5.5,1,93,5
9.4,9.4,105,75,60,43,31,43,16,14,0.5,1.1,5.8,1,94,4
9.4,9.4,105,78,59,41,30,29,17,15,0.5,0.8,6,1,94,4
9.4,9.4,107,65,59,41,30,29,17,15,0.5,1.2,6,1,93,5
